month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202107,12057,"hillsborough, fl",375000,0.0098,0.1648,1794,0.1241,-0.4874,35,0.044776119,-0.375,1776,-0.1102,-0.0845,124,-0.3111,-0.7559,720,0.4754,-0.4767,4174,-0.0438,-0.1376,205.5369128,0.0208,0.2882,1828,-0.0071,-0.089,601792.0609,0.0333,0.2344,5968,0.0012,-0.2844,2.32664437,-0.4083,0.9438
202107,12131,"walton, fl",899000,0.0011,0.3833,730,0.2457,-0.5007,32,0.28,-0.602484472,456,0.0962,0.14,48,0.3333,-0.3684,224,0.6,-0.3,6,-0.1429,0.5,520.4170287,0.0097,0.4594,2025,-0.0088,-0.0187,1626019.553,-0.0356,0.3442,736,0.2411,-0.498,0.008219178,-0.0037,0.0055
202107,12115,"sarasota, fl",495000,0,0.2398,893,0.0568,-0.727,39,-0.037037037,-0.635514019,692,-0.0847,-0.3135,56,-0.3636,-0.65,240,0.2766,-0.6875,2169,-0.1258,-0.0606,276.5480896,0.0081,0.2955,1717,-0.0087,-0.0327,1075638.719,0.0166,0.4594,3062,-0.0794,-0.4513,2.428891377,-0.5072,1.723
202107,12111,"st. lucie, fl",355000,0.0519,0.2909,674,0.0942,-0.5782,38,0.013333333,-0.482993197,572,0.1349,0.007,56,-0.0667,-0.2632,196,0.6897,-0.4235,1271,-0.1143,-0.2006,190.4285714,0.0453,0.265,1893,0.0069,0.0327,457103.1341,-0.0125,0.3292,1945,-0.0517,-0.3899,1.885756677,-0.4438,0.8908
202107,12001,"alachua, fl",280000,-0.0343,-0.0343,553,0.1497,-0.3139,45,0.111111111,-0.256198347,348,-0.0745,0,24,-0.3333,-0.4,212,0.963,0.06,789,-0.1588,0.0706,165.2461298,-0.0065,0.1001,1682,-0.0152,-0.0893,423440.8274,0.0024,0.1837,1342,-0.0543,-0.1303,1.42676311,-0.5233,0.5124
202107,12009,"brevard, fl",350900,0.0029,0.1507,1208,0.2428,-0.4585,35,-0.054054054,-0.461538462,1088,0.0667,0.1775,68,-0.32,-0.2917,452,0.7656,-0.2365,2485,-0.0533,-0.0139,204.6252927,0.0234,0.2266,1767,0.0006,-0.0423,503304.8839,0.0045,0.2021,3693,0.0267,-0.2227,2.057119205,-0.6435,0.9276
202107,12033,"escambia, fl",289000,0.0414,0.0342,652,0.2007,-0.2641,27,0.173913043,-0.46,500,0.25,0.1161,76,0.2667,-0.4571,208,0.1064,-0.1875,25,0.087,-0.5283,165.2861446,0.0231,0.1976,1666,-0.0089,-0.1255,441314.528,-0.0194,0.0626,677,0.1961,-0.279,0.038343558,-0.004,-0.0215
202107,12069,"lake, fl",351520,0.0045,0.2554,664,0.2161,-0.5287,34,-0.055555556,-0.521126761,572,0.0672,0.0214,60,0,-0.1667,232,0.4872,-0.4476,1055,-0.077,-0.1402,180.7827103,0.0124,0.2198,1948,-0.0149,0.0083,456465.4203,-0.0034,0.2282,1719,0.0178,-0.3479,1.588855422,-0.5046,0.718
202107,12095,"orange, fl",375000,0.019,0.0629,1982,0.0789,-0.4719,37,0.057142857,-0.372881356,1688,-0.0786,-0.0365,124,-0.0882,-0.3542,728,0.3481,-0.4167,3174,-0.0488,-0.03,202.4528302,0.0064,0.1815,1787,0.0045,-0.1123,577439.2981,-0.0041,0.0967,5156,-0.0035,-0.266,1.601412714,-0.2151,0.7296
202107,12071,"lee, fl",381000,0.0034,0.1217,1901,0.0248,-0.6945,42,0.05,-0.5625,1400,-0.0885,-0.2045,128,-0.3191,-0.3191,544,0.1525,-0.6201,3993,-0.1109,0.0299,220.228385,0.0118,0.2059,1748,0.002,-0.0147,702150.3851,-0.0271,0.1526,5894,-0.0712,-0.4164,2.100473435,-0.3206,1.4774
